order,rep_id,prompt,transcript,audio_link,duration_s,headline,coach_focus,clarity_band,structure_band,conciseness_band,thinking_band,pacing_band,tone_band,headline_accurate,coach_focus_right_lever,hallucinated_claim,notes
11,73490475-6b97-4630-849d-3233468875ba,Describe a meeting where someone stood up for you — pause on the line,"I thought I wasn't going to get paid at work today, which was really annoying because I've done so much work over the past three months, and I've produced amazing results. And it looked like I wasn't going to going to get paid for those, but then Tim helped. I thought it wasn't going to happen because he's been kinda standoffish recently and has not been open to hearing what's wrong with us, but he did. He listened to me. I gave him what I was, you know, pissed off about, and he ended up helping me out, which was great.",,45.3,,,,,,,,,,,,
12,f8cd8e67-fdf3-4b6f-badd-a6847b94aca1,Describe your favorite season and what it does to your mood.,"My favorite season is winter. The reason for that is because winter brings a lot of joy to people from time to time just because of all the snow, the lovely weather, the change of the season. Personally, the reason why I like it so much is because I like to ski and snowboard in the winter, and there's no other time of the year where that is so accessible. And, yeah, I like being able to go to a ski lodge and drink hot chocolate and whiskey to warm the body up after being out in the cold. And my favorite place to go skiing would probably be in Canada.",,56,Your winter description needs clearer structure and deeper reasoning.,Your reasoning is surface-level and lacks depth. Providing specific examples or reasoning to support your claims would enhance the listener's understanding and engagement. Incorporate specific examples or reasoning to support each piece of advice.,,,,,,,,,,
13,15c8e60a-e40a-4a7d-8a0c-48f7998206d5,Move your team at work to schedule walking meetings.,"Hey, guys. So I was thinking about a new way to take walking meetings to make our meetings, you know, walks outside with, you know, two or three of us. First of all, we know that walking is just good for you. Everybody these days has a step count, and we know how natural it is and how good it feels to be walking and to be outside. We also know that walking gets the mind turning. I mean, I know that when I'm walking even by myself, I just start thinking through ideas, and it's where I get and have gotten my best ideas for this team. Also, you know, there's this funny thing in psychology where if two people are facing the same direction and not looking at each other directly, they're more engaged in the conversation at hand, more engaged in the ideas and the actual topics as opposed to, you know, concerns about what the other person is exactly thinking or too focused on a nonverbal communication. So just picture this. You know? Picture taking walking meetings. You know, it's bright outside. You get out of the office for a little bit. You get to stretch the legs. I think it would be a really good idea for us to take walking meetings.",,82.6,Reduce filler words to make your walking meetings pitch clearer and more engaging.,"High filler rate and repetitive phrases dilute the message. Reducing fillers will make your argument clearer and more persuasive, helping your team see the benefits of walking meetings. Practice delivering your pitch with fewer fillers and more direct language.",,,,,,,,,,
14,5af4ff69-6727-4076-9113-dd5d7ad5d96d,What do you do when you can't sleep?,"When I can't sleep, I typically do a breathing exercise. It usually looks like this where I breathe in for four seconds, hold for four seconds, breathe out first for for four seconds, and then hold again for four seconds. And it helps turn my mind off and not have my mind race for at a million miles per hour and helps me calm down. Next, I what I do is find a way to make the environment that I'm sleeping in colder because, normally, when I'm not sleeping, it's probably because I am hot, too hot. And so I would definitely say performing a breathing exercise and somehow trying somehow getting colder are the ways for me to go to bed faster.",https://dunnoccrvrqzsgxsfjuv.supabase.co/storage/v1/object/sign/rep-audio/reps/172be75d-5a22-4064-80d9-4bfe48194eb3/6ab11c35-4a5e-4211-adea-0edb60d1e320.mp4?token=eyJraWQiOiI5M2JkMzA1YS02MDFkLTQ1OGItOGRhYi03ZDE5MjYyYWUyYWYiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJyZXAtYXVkaW8vcmVwcy8xNzJiZTc1ZC01YTIyLTQwNjQtODBkOS00YmZlNDgxOTRlYjMvNmFiMTFjMzUtNGE1ZS00MjExLWFkZWEtMGVkYjYwZDFlMzIwLm1wNCIsInNjb3BlIjoiZG93bmxvYWQiLCJpYXQiOjE3ODc5Mjc3NDksImV4cCI6MTc4ODUzMjU0OX0.XX4oocjDxuzNqy7DfJbMvQ8C-Ja-4FJSBrhJDDimNEo,64.6,You used transitions but need smoother flow for clarity.,"Some sentences are longer than necessary, repeating similar ideas. Tighter sentences increase clarity and keep the listener engaged. Condense sentences by removing redundant phrases and focus on delivering each point succinctly.",,,,,,,,,,
15,c4547169-b56b-48d1-ba40-f4993debfa6b,Explain how to talk to someone going through a tough time,"The way to talk to someone who's going through a rough time is to listen and ask questions. You need to be an active listener, taking in everything that they're saying and not thinking about other, things in your head and to ask you questions after they're done with their points. And a common pitfall is to compare what they're going through to something that you have gone through, but it's not what they want to want to hear right now. So listen and ask questions.",,36.3,,,,,,,,,,,,
16,797449c9-7b07-4d3d-94df-ca1aec59ea9c,Why do humans tell each other stories?,"Human beings are the only animals with complex language that assists social dynamics and networks that are just extremely large and complex dynamic systems. One way we do this through telling stories, and stories are really important when you consider the the kind of first principles of human social dynamics, which are complex thought of one individual understood by another individual through, you know, vibrations of the vocal cords. It's the only way we shake our bodies to help someone else understand our own thoughts. This is especially interesting when you consider the fact that written language wasn't invented in a lot of human societies. And even if it was invented, it was invented way, way, way beyond way, way, way after oral communication, storytelling. And storytelling can assist the knowledge of others, the thoughts of others, can pass on information from generation to generation, from, you know, subgroup to subgroup. And so storytelling is really important to human history.",,120.1,"Your response lacks structure and clarity, making it hard to follow.","The response lacks clear transitions and a structured sequence. Without clear transitions, the listener struggles to follow the argument, reducing the impact of your message. Use explicit transitions like 'first', 'next', and 'finally' to guide the listener through your points.",,,,,,,,,,
17,f2e50123-9018-4836-83f3-a0a46138f383,Should you tell your boss you're unhappy at work?,"You should definitely tell your boss if you're unhappy at work. First of all, if you can't, then your boss is probably one of the reasons why you're unhappy, and that doesn't sound like an ideal work environment to begin with. But telling your boss can help the two of you in partnership work through the problems that you might have. At the end of the day, the two of you and the rest of your team are exactly that. You are all a team, and a team is going to work together to complete goals. And if those goals aren't being completed or if people aren't happy in completing those goals, there are problems. So absolutely tell your boss, you know, you, of course, can't be angry. You shouldn't be aggressive. You shouldn't ask for things that are ridiculous to ask for. But of course, within reason and with strong communication skills and being open to their perspective, your boss's perspective, that's when you should tell them that you're unhappy at work.",,81.8,Your reasoning is clear but lacks depth; support your claims with evidence.,"You made several claims without providing supporting evidence or deeper reasoning. Supporting your claims with evidence or reasoning enhances credibility and persuasiveness, helping the listener understand and agree with your perspective. Provide specific examples or reasons to back up each claim you make.",,,,,,,,,,
18,8bf0da65-dcbb-40cf-98ef-eda33e79b0e6,"Why do you want to become an account manager? — Interview at Zebra technologies, I’m currently a sdr right now and it’s to be…. Connect what energizes you to what the role actually needs. Deliver it exactly as you would in the real interview.","Yeah. So I wanna be an account manager because I have built a very strong foundation as an SDR. I have mastered the early stages of the sales cycle, and I really wanna start owning the process after booking the meeting because I've booked some meetings meetings with some crazy customers like Disney Cruise Lines and Patagonia and REI. And I wanna continue and build that relationship past what I've been able to do because I've only just been booking the meeting and then going on to booking the next meeting. So, yeah, I wanna own that relationship end to end with the customer. And I know I still have a ton to learn, but I'm ready for that, and that's what excites me.",https://dunnoccrvrqzsgxsfjuv.supabase.co/storage/v1/object/sign/rep-audio/reps/172be75d-5a22-4064-80d9-4bfe48194eb3/4fd57f8d-9fc1-41ec-b0e9-ae10af1acfeb.mp4?token=eyJraWQiOiI5M2JkMzA1YS02MDFkLTQ1OGItOGRhYi03ZDE5MjYyYWUyYWYiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJyZXAtYXVkaW8vcmVwcy8xNzJiZTc1ZC01YTIyLTQwNjQtODBkOS00YmZlNDgxOTRlYjMvNGZkNTdmOGQtOWZjMS00MWVjLWIwZTktYWUxMGFmMWFjZmViLm1wNCIsInNjb3BlIjoiZG93bmxvYWQiLCJpYXQiOjE3ODc5Mjc3NDksImV4cCI6MTc4ODUzMjU0OX0.j276bfno4FEDWrTOKh5nR3QwwcW0ebI7fqtqZUrQaWs,53.6,,Open with a direction-setting sentence so the listener knows where you're going.,,,,,,,,,,
19,c79bd73d-e2ab-4a3f-83f5-aca957bb3087,How many hours of sleep do you actually get per week?,"I get forty nine hours of sleep per week. Breaking it down, Sunday through Thursday, I go to bed around 11:30 or twelve and wake up at around 7AM. So that's seven hours per day. And then Friday, Saturday, I go to bed anytime between twelve and three and wake up at around ten to eleven. So that's around seven hours again. And, yeah, I believe I get around forty nine hours per week.",,47.1,"Your clarity improved, but depth in reasoning is still needed.",The response lacks depth and does not explore the implications of the sleep pattern. Exploring the impact or significance of your sleep pattern would provide more insight and engage the listener. Explain why your sleep pattern matters or its effects on your daily life.,,,,,,,,,,
20,de160d42-6229-4a2e-a756-182b6e4cbb0c,What's the one habit that changed your life the most?,"One thing I realized growing up is that my peers, whether they were children, adolescents, or even now that I'm in my twenties, my peers sleep in very late, and they often go to bed very late. They get enough sleep, say, six to nine hours, but they wake up so late in the day that they kind of don't meet their personal or professional goals. They don't they're not doing all the things that they want to be doing. And a lot of these people will say, I wish there was more time in the day. So a habit that changed my life genuinely, a daily habit, is just to wake up earlier. You realize that if you wake up at eight compared to ten, you make that day longer by two hours. If you wake up at six compared to noon, you're making that day six hours longer. And and often those morning hours can be even more productive. Your brain is kind of on in those morning hours, and it makes it easier to get things done and to bring keep the day long.",,79.6,Strengthen your opening and transitions to improve structure.,The response starts without a clear opening and lacks strong transitions between points. A clear opening and transitions help the listener follow your argument and remember your main points. Begin with a strong opening statement and use explicit transitions like 'first' and 'next' to connect your ideas.,,,,,,,,,,
21,87ac2cb5-dda7-449f-afec-68ef1857ab0d,Make the best argument for going to bed at 9pm every night.,"Some people will say that going to bed at the wee hours of the morning or kind of whenever you want to is great because it reduces stress in the sense that you'll be able to, you know, not have this rigid schedule, and you'll be able to do exactly what you want to do. And over time, that'll just feel nice and feel normal, and you won't have to leave your friends early in the day and that type of thing. However, that's a total misconception of the way that stress works and stress builds or falls. Our bodies need sleep to combat stress, and they're used to sleeping when it's dark out and waking up in the early morning as the sun is rising. That's how the hormonal systems and the neuronal systems understand the day and understand themselves and understand the rhythm of sleep and wakefulness. Going to bed regularly tells the body that there is a time to repair. There's a time to get active in the morning. And when you delineate these times very rigidly, it actually helps the body cope with with stress and will help you, you know, succeed in a trying time more so than doing whatever you want.",,119,Clarify your argument with concrete examples and resolved pronouns.,"The argument uses abstract language and unresolved pronouns, making it difficult to follow. Concrete examples and resolved pronouns help the listener understand and remember your main point. Use specific examples and resolve pronouns to clarify your main point.",,,,,,,,,,
22,bc3852e4-fa20-4681-bbbd-e2a5ea1a8210,What's the best advice you'd give someone starting their first job?,"If I was talking to somebody that was starting their first job, obviously, they're walking into an entire world that they've never experienced before. But if I had to list it out into a couple of key things to remember as they start that journey, to me, the most important thing to remember is that it's a growth journey through and through. When you start a new job, you're obviously not expected to know everything that there is to know about it, but I like to say that they should try to do as much as they can on their end to get up to speed as quickly as possible. It's hard to start a new job, but if you're up for the task of doing your due diligence and grinding to understand the new world that you're entering into, I feel like that's all that matters. And as long as you're growing along the way, I would say that that's the second most important thing because at the end of the day, all we try to do with our time is learn as much as we in the short amount of time that we have on this planet. So don't don't overthink things. Take it one step at a time, and know that you're on the right path regardless.",,86.7,Simplify your advice to make it clearer and more impactful.,"Your sentences are complex and dense, making it hard for listeners to follow. Simplifying sentences helps listeners grasp your main points quickly, improving understanding and engagement. Break down complex ideas into simpler sentences and state your main point early.",,,,,,,,,,
23,dc3e97ac-82c3-4114-9d49-e05c2117be2e,Defend your tool choice in 20 seconds,"I choose Claude as a tool over ChatGPT because it's a better model, and it's proven through case studies and experiments that have been run, and this ultimately makes me better at my role using it.",,21,,,,,,,,,,,,
24,67fd2a4f-36ee-4325-97ac-80fbab857fd9,Make the case that rest is productive.,"When I'm tutoring, I always tell my students about the three r's. That's review, recall, and rest. And that third one, rest, is actually way more productive than most people think. The reason that rest is productive is because it allows your brain to do its job of learning, passive learning, learning that goes on behind the scenes that you can't even think of consciously. When you learn something, there are synapses that build in your mind. They're how neurons communicate, and you can't force those synapses to be stronger and stronger unless you rest. Rest is when the brain actually builds, you know, the meat between those synapses. It's almost like training your strength in the gym. You need to work out. You need to push the weights. You need to be active, of course. But those muscles aren't going to build back stronger unless you rest. And so with learning and with tutoring, it's the same.",,85.1,Your argument for rest as productive is clear but needs stronger transitions.,"The argument lacks smooth transitions between points, making it feel disjointed. Transitions help the listener follow the argument and understand the connections between ideas. Use explicit transitions like 'first', 'next', and 'finally' to guide the listener through your points.",,,,,,,,,,
25,d6faea7f-9c99-47b6-b6d6-e28c20712f30,Explain how a credit card actually works,"So to understand a credit card, you need to think about it like this. One has the ability to pay for it, but they don't want to use actual money now. They want to loan it to the bank and build points and then pay it off later because this helps build a good credit score and ultimately gives you more buying power.",,31.4,,,,,,,,,,,,
26,0c3f9cfd-a1ad-4531-b07e-7f61b69a1399,Convince a friend who hates running to try it for two weeks,"I understand that running is one of the worst exercises to have to put yourself through, but the reward is worth more than the cost. So I really believe that if you can just get your running shoes on, get outside, and push through it, you will feel so much better about yourself mentally and physically by passing that test. So I would need you right now to set a goal to do one mile a day to feel better about yourself.",,40.1,,,,,,,,,,,,
27,6a18fc39-763c-4630-9525-8af880a7070a,Tell us the most important thing you learned last year.,"Last year, I learned that working within a complex, dynamic, and outdated system defines much adult work. I was freshly graduated, 22 years old, working for the National Institutes of Mental Health in Bethesda, Maryland. And one of the issues that I faced was just the sheer size and age of some of our legacy networks, or work environments can be very challenging for somebody who's coming straight out of high school, straight out of college, and used to more streamlined, more tailored to the individual approaches to work and to to learning. So I was a trainee, but it still felt kind of crushing to be, to use an analogy, like a small fish in a big pond. Realizing this type of thing matters because one has to learn how to engage with and challenge these large, complex, dynamic, and outdated systems that you'll come into contact with in life. A lot of people don't, and that's how you kind of become a slave to the system. But if you adapt to it and engage with it in a good way, you can do better in your job, and your job can do better for you.",,90.2,Clarify your main point by simplifying language and resolving pronouns.,Your main point is obscured by complex sentences and unresolved pronouns. Clear communication ensures your audience understands your insights without needing to re-interpret. Simplify your sentences and ensure all pronouns have clear antecedents.,,,,,,,,,,
28,570096cf-b328-4fec-b3f2-2d5503e6e769,Explain how sleep affects your energy,"Sleep affects your energy in always possible. If you are unable to rest your body, you are essentially going to be a dead plant. It's you gotta water yourself in in order to replenish your energy for for the day. And this matters because if you don't sleep, you're not gonna be able to do what you need to do. You're gonna be low energy, and you're gonna struggle.",,33,,,,,,,,,,,,
29,46a85825-512f-4bc9-aea2-366d5124bf64,Present a risk the board hasn't yet noticed,Okay. Also okay. It looks like it's working. Test. Test. Test. Test. Test.,,10.4,,,,,,,,,,,,
30,8fcc8735-957b-4626-b60e-1f4d8749f78c,Should you tell your boss you're unhappy at work?,"I'm purposefully bombing this so that it doesn't grade me well. Should you tell your boss you're unhappy at work? Framework main three, close, jot notes, the example. Hook point 1.2, point three. Close. Speak clearly. Speak confidently. Recording. 28, 29, thirty, thirty one, 32, thirty three, thirty four. Ten nine eight seven six five four three two one.",,60.3,The response was off-topic and lacked structure and clarity.,"The response lacked any logical flow or visible structure. Without a clear structure, listeners cannot follow the argument or understand the main point. Start with a clear opening statement and use transitions to connect your points logically.",,,,,,,,,,
31,1472a2b0-44eb-4db3-92c2-7203b06c8845,Make the case that rest is productive.,"When I'm tutoring, I always tell my students about the three r's. Review, recall, and rest. Rest meaning taking a break between sessions, between learning, and allowing synapses in your brain to actually build. Rest is important for learning just like it is in the gym. If you were to lift all the weights and do active training constantly, there wouldn't be any actual time for the muscles to rebuild and build back stronger. That's exactly how it is with the brain and the connections between your neurons, which are called synapses. That's why when learning or becoming stronger or really doing anything in life, the body and brain need rest.",,85.6,"You improved structure with a clear open and close, but transitions are still missing.","The response lacks explicit transitions between points. Transitions help the listener follow the logical flow and connect ideas smoothly. Use explicit transitions like 'first', 'next', and 'finally' to guide the listener through your points.",,,,,,,,,,
